id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
hs2995,TV Show,"Say ""I Love You""",,,Japan,2012-11-28,2012,TV-14,1,Season,"Anime, International, Romance","to trust is to set yourself up for failure. that’s the lesson mei tachibana learned when her heart was broken. she found a solution: never make any more friends. it’s not as easy as it sounds, but it works for mei. at least it did until handsome and charming yamato kurosawa showed up to complicate everything. mei’s not looking for a white knight. so why did he have to kiss her and ruin everything? between heartbeats and behind trembling lips the specter of betrayals past, future, and present haunt them both in say ""i love you""!",84
hs2996,TV Show,Blood-C,,,Japan,2012-11-16,2011,TV-MA,1,Season,"Action, Adventure, Anime","saya's cheerful, clumsy exterior makes her well-liked at school, and she works hard to help out at her father's shrine. however, her sunny disposition hides a secret: she spends her nights wielding a sacred blade against demonic monsters.",89
hs2997,TV Show,To Love Ru,,,Japan,2012-11-15,2008,TV-MA,1,Season,"Anime, Comedy, International","rito yuki had no idea the planet develuke even existed when their princess lala teleported into his bathtub, but now he finds himselft to be engaged to the beautiful girl with a pointed tail. problem: various aliens are showing up on missions of varying hostile intent. worse, the girl that rito really loves is still completely unaware of his feelings!",70
hs2998,TV Show,Guyver: The Bioboosted Armor,,,Japan,2012-11-09,2005,TV-MA,1,Season,"Action, Adventure, Anime","while investigating a mysterious explosion near his school, sho fukamachi happens upon the chronos corporation's greatest weapon: a techno organic suit of bio armor known as ""the guyver."" but chronos is determined to conceal its secret at any cost.",66
hs2999,TV Show,Shakugan no Shana,,,Japan,2012-09-14,2005,TV-14,3,Season,"Action, Adventure, Anime","yuji sakai learns there is more to the world than school and finding a girlfriend when he meets a sword-wielding girl with fiery red eyes and flame-colored hair. it's up to the flame haze, shana, to slay the invading denizens of the crimson realm.",17
hs3000,TV Show,The Thick of It,,,United Kingdom,2012-09-09,2005,TV-MA,4,Season,"Comedy, International","the secretary of state for social affairs is having a meeting with number ten's chief political advisor. there have been press rumors that the minister is to be sacked. the minister is told that none of these stories have come from number ten. however, now they're out there, number ten would look weak not to sack him. so he's sacked. his replacement as minister for social affairs takes office. and so starts the thick of it, featuring an ensemble of the best british comic actors, improvising scripts from the sharpest british comedy writers.",3
hs3001,TV Show,Up to Speed,,,United States,2012-08-09,2012,TV-14,1,Season,"Documentaries, Lifestyle & Culture","filmmaker richard linklater, best known for his movies “bernie” “school of rock,” ""waking life,"" and oscar-nominated “before sunset,” has created a new historical travel show for hulu called “up to speed.” each week ""up to speed"" follows tour guide, historian and flaneur timothy “speed” levitch (“the cruise”) as he visits the monumentally ignored monuments of america's cities, from the shoe gardens of san francisco to the luckiest subway grate in new york city.",77
hs3002,TV Show,Naruto Spin-Off: Rock Lee & His Ninja Pals,,,Japan,2012-04-17,2012,TV-14,1,Season,"Action, Adventure, Anime","welcome to the village hidden in the leaves, home to the famous naruto uzumaki, star of naruto. here, ninja train day and night to be able to carry out important missions. but wait! this show isn’t about naruto, the mightiest ninja! it’s about rock lee, the one who can’t use ninjutsu at all!",45
hs3003,TV Show,Accel World,,,Japan,2012-04-06,2012,TV-14,1,Season,"Adventure, Anime, Science Fiction","the year is 2046. haruyuki arita is a young boy who finds himself on the lowest social rungs of his school. ashamed of his miserable life, haruyuki can only cope by indulging in virtual games. but that all changes when kuroyukihime, the most popular girl in school, introduces him to a mysterious program called brain burst and a virtual reality called the accel world.",54
hs3004,TV Show,A Day in the Life,,,United States,2012-03-12,2011,TV-14,2,Season,Documentaries,"morgan spurlock (academy award nominated director of ""supersize me"") has spent the majority of his career turning the camera on himself, inviting the audience to be a part of his own life experiences. this time, he's refocusing his lens on the most innovative and intriguing individuals in our pop culture landscape, allowing the audience to experience what it's like to be at the pinnacle of an exciting and extraordinary career by being ""a fly on the wall"" during the course of a typical day. each episode goes behind the scenes with today's leading figures - celebrities, musicians, comedians, dancers, entrepreneurs - literally chronicling one day in their lives in a half-hour documentary film.",66
hs3005,TV Show,CSI: Miami,,,United States,2012-03-01,2002,TV-14,10,Season,"Crime, Drama, Mystery","inspired by the top-rated series ""csi: crime scene investigation,"" ""csi: miami"" is a drama that follows a south florida team of forensic investigators who use both cutting-edge scientific methods and old-fashioned police work to solve crimes. horatio caine, a former homicide detective, heads a group of investigators who work crimes amid the steamy tropical surroundings and cultural crossroads of miami. his team includes calleigh duquesne, a bilingual southern beauty with a specialty in ballistics; eric delko, an underwater recovery expert who knows all the twists and turns of the florida waterways, and ryan wolfe, a former patrol officer who specializes in blood and trace evidence. rounding out the team is natalia boa vista, the enigmatic dna specialist and helping horatio with cases is det. frank tripp, a tough yet thorough police officer. the newest addition to the team is crime scene photographer walter simmons who uses his analytical skills to help horatio in solving criminal puzzles. together, these investigators collect and analyze the evidence to solve the crimes and to avenge those who cannot speak for themselves - the victims.",56
hs3006,TV Show,Battleground,,,United States,2012-02-14,2012,TV-PG,1,Season,Drama,"by executive producers jd walsh, hagai shaham (""the details""), and marc webb (""the amazing spider-man"", ""500 days of summer""), battleground is a workplace dramedy set in the world of political campaigns. head campaign strategist chris ""tak"" davis and his staff strive to win a senate seat for their underdog candidate in a race with national consequences. it takes place in wisconsin, a real battleground state, where tak and his team manipulate the 24-hour news cycle, new media, and social networking to navigate the unpredictable ups and downs of state politics. all the while, a documentary crew exposes the behind-the-scenes chaos of idealistic twenty-somethings trying to make a difference.",4
hs3007,TV Show,Reborn!,,,Japan,2012-02-01,2006,TV-14,8,Season,"Anime, International","tsuna, a timid junior high student, is a failure at school, sports, and social life. but everything around tsuna has been completely changed when a baby called reborn, who claims to be an italian hit man from vongola family shows up! reborn was sent to groom tsuna for his future life as a mafia boss of the family!",39
hs3008,TV Show,Blue Dragon Uncut,,,"Japan, France",2011-07-22,2007,TV-14,1,Season,"Anime, International","the blue dragon anime is a classic adventure story of magical shadow powers, flying air fortresses, and unbounded heroism! brought together by fate, seven soldiers of light must awaken the shadow within themselves in time to overcome a despotic power and bring peace to their land. their ensuing journey through a rich fantasy world is also an internal journey to awaken the great power within each of them. journey with them into the world of blue dragon!",55
hs3009,TV Show,Nura: Rise of the Yokai Clan,,,Japan,2011-07-03,2010,TV-14,2,Season,"Action, Adventure, Anime","rikuo nura lives in ukiyoe town and looks like your typical junior high student. but unlike his classmates, he lives in an old, japanese-style house full of yokai that serve him. unbeknownst to many, rikuo is the grandson of nurarihyon, who is the leader of all yokai. rikuo is regarded as the third heir of the nura clan, but he has yet to officially take his seat.",10
hs3010,TV Show,Ouran High School Host Club,,,Japan,2011-06-03,2006,TV-14,1,Season,"Anime, Drama, International","the boys in the ouran host club please their clients in different ways. the new host, haruhi, seems to know exactly what girls want - because haruhi's a girl too! as the hosts try to hide her secret, she has a blast turning their world upside down.",35
hs3011,TV Show,Toriko,,,Japan,2011-04-15,2011,TV-PG,1,Season,"Action, Adventure, Anime","the world is full of deliciously deadly ingredients that the wealthiest appetites in existence can't wait to devour. toriko, the legendary gourmet hunter, is ready and willing to track down the rarest animals on the planet and put them on a plate!",46
hs3012,TV Show,Tiger & Bunny,,,Japan,2011-04-02,2011,TV-14,1,Season,"Action, Adventure, Anime","the city of stern bild is protected by corporate superheroes known as next, who fight crime while promoting their sponsors on the popular show “hero tv.” veteran hero wild tiger relies on his years of experience and instincts to fight crime, but his tendency to destroy public property for the sake of protecting the lives of the innocent has earned him the nickname “crusher for justice.” now, under orders from his new employer, wild tiger finds himself forced to team up with barnaby brooks jr., a rookie with an attitude. two polar opposites work to fight evil in this thrilling buddy-hero action series!",15
hs3013,TV Show,Air Gear,,,"United States, Japan",2011-03-18,2006,TV-MA,1,Season,"Action, Anime","tough guy ikki rules his school, but when he's defeated by a gang of storm riders, the four sisters he lives with welcome him to the world of air trecks - motor-powered inline skates. with his new wings, ikki fights in fierce air treck battles.",39
hs3014,TV Show,Samurai Champloo,,,Japan,2011-03-18,2004,TV-MA,1,Season,"Action, Anime, Drama","mugen is a ferocious, animalistic warrior with a fighting style inspired by break-dancing. jin is a ronin samurai who wanders the countryside alone. they may not be friends, but their paths continually cross. and when ditzy waitress fuu gets them out of hot water with the local magistrate, they agree to join her search for the samurai who smells like sunflowers.",67
hs3015,TV Show,Shuffle,,,Japan,2011-03-18,2005,TV-MA,1,Season,"Action, Adventure, Anime","ten years ago, the gateway to the realm of the gods and the realm of the demons was opened. soon afterwards, the gods and the demons began migrating to our world.",62
hs3016,TV Show,Slayers,,,"Japan, United States",2011-03-18,1995,TV-PG,1,Season,"Action, Adventure, Anime","in a land of fantasy and fairytale, magic rules and one can prosper by the point of a sword. but somewhere between the realms of good and evil, a band of misfits stumble upon an artifact which could prove the undoing of all…",83
hs3017,TV Show,Yu-Gi-Oh!,,,Japan,2011-03-07,2001,TV-Y,5,Season,"Adventure, Anime, Kids","meet yugi, an eager young freshman at domino high school. yugi and his best friends, joey, tristan, and tea share a love of a cool new game that's sweeping the nation...duel monsters! in this card-battling game, players pit different mystical creatures against one another in action-packed, high intensity duels.",1
hs3018,TV Show,Big Windup,,,Japan,2011-03-04,2007,TV-14,1,Season,"Anime, Comedy, International","most guys can’t wait for baseball to start. but not mihashi. for this kid, the crack of the bat is the sound of failure. every summer he gets caught between wanting to stay on the mound and watching his pitches get blasted out of the park. but this year, mihashi’s at a new school with teammates that don’t know how bad he used to be. most importantly, he’s got abe – a real superstar behind the plate. if mihashi can learn to trust his new catcher, this could be the year he falls in love with the game all over again.",83
hs3019,TV Show,Black Cat,,,Japan,2011-02-18,2008,TV-PG,1,Season,"Action, Adventure, Anime",sven crosses paths with the black cat (a.k.a. train heartnet) and the young bio-weapon eve. they'll need more than luck to survive when they find themselves sought by the chronos numbers and a revolutionary group called the apostles of the star.,56
hs3020,TV Show,Vampire Knight,,,Japan,2011-02-18,2008,TV-14,2,Season,"Action, Adventure, Anime","yuki cross is a first-year general education student at cross academy. as a member of the disciplinary committee, along with her childhood friend zero kiryu, her duty is to keep the infatuated day class students from chasing the beautiful night class students, all while performing the important task of protecting the secret of the night class. the secret…that all members of the night class are vampires!! the creation of the night class was an effort formed to end the long history of conflict by promoting a peaceful coexistence between human beings and vampires. as guardians, yuki and zero are given the vital role of protecting the coexistence of the day class and the night class. unlike zero, who sees the vampires as enemies, yuki believes vampires and humans can coexist.",60
hs3021,TV Show,Kenichi,,,Japan,2011-02-04,2006,TV-PG,1,Season,"Adventure, Anime, Comedy",kenichi seems destined to be bullied forever - until he meets butt-kicking cutie miu and the six martial arts master she lives with! the warriors take kenichi as their disciple and give him a chance to change his fortunes.,55
hs3022,TV Show,School Rumble,,,Japan,2011-02-04,2004,TV-PG,2,Season,"Anime, Comedy, Drama","here's what you need to know: tenma is completely crushed on classmate karasuma - passed the point of freakin' out. tough guy harima, with his own delinquent style of freak has a long-standing crush on tenma. and karasuma? can you say clueless? he's pretty much all about the curry, mmm...curry!",74
hs3023,TV Show,High School of the Dead,,,Japan,2011-01-31,2010,TV-MA,1,Season,"Action, Adventure, Anime","from director tetsuro araki (deathnote, black lagoon), and adapted from the highly successful manga of the same name by daisuke sato, comes one of the hottest new shows of the summer, high school of the dead. a deadly new disease is ravaging the world, turning the populace into mindless zombies, and the number of infected is skyrocketing by the second.",17
hs3024,TV Show,Flavor of Love,,,United States,2010-12-27,2006,TV-14,2,Season,"Black Stories, Reality","you may remember him from vh1's hit shows ""the surreal life 3"" and ""strange love,"" but just when you thought you heard your last ""yeah, boyeee!"" vh1 is hitting you with a third dose of the public enemy hype-man who made sporting big clock necklaces famous. flavor flav is back once again, this time as an eligible bachelor where women will try to win his heart in the new series ""flavor of love."" after his failed romance with brigitte nielsen, flavor flav is ready for a new and true romance. in ""flavor of love,"" 20 single women from all walks of life, selected for their expressed love for flav, will move into a ""phat crib"" in los angeles and vie for his affection. with help and advice from big rick, flav's gigantic body-guard and chauffeur, flavor flav will date all of the women, weed out the ones who are only after his fame and fortune...and in the end will choose his one true love. along the way, flav will put the ladies through several challenges including a lie-detector test administered by brigitte nielsen herself, a cooking contest judged by flav's own mother, and the dreaded blind-fold sniff test! plus, there will be several other surprises throughout this ten-part series including clock ceremonies, dates at red lobster, and a new set of gold teeth signifying true love!",95
hs3025,TV Show,Chrome Shelled Regios,,,Japan,2010-12-17,2009,TV-MA,1,Season,"Action, Adventure, Anime","the world of tomorrow is an arid wasteland. humans must live in domed cities to escape the threat of mutant contaminoid monsters. in this future, layfon struggles to keep his violent past a secret from his fellow student soldiers at the military academy.",54
hs3026,TV Show,Yu-Gi-Oh! GX,,,Japan,2010-12-17,2004,TV-Y,3,Season,Anime,"taking place several years after the previous yu-gi-oh! series, gx is set in a ""duel monsters"" boarding school where pencils and books are replaced by duel disks and monster cards! it is here that game designers-in-training and future dueling champions train to master the now legendary card game known as duel monsters.",36
hs3027,TV Show,Yu-Gi-Oh! 5D's,,,Japan,2010-11-04,2008,TV-Y,2,Season,"Anime, International","in the futuristic society of neo domino city, five ""signers"" will unveil the secret of the five dragons and the legends of the people of the stars!",16
hs3028,TV Show,NASA 360,,,United States,2010-09-15,2010,G,2,Season,Science & Technology,"nasa 360 examines how technologies developed by and for nasa are used in everything from space exploration to everyday consumer products, nasa 360 showcases how nasa changes our lives in positive ways",13
hs3029,TV Show,Coupling,,,United Kingdom,2010-09-14,2000,TV-PG,4,Season,"Comedy, International, Sitcom","when a group of friends really get to thinking how to get what they want in love, the results are a wild mix of one-night stands, one-lunchtime stands, two-timing and partner-swapping.",20
