id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
ds115,TV Show,Pepper Ann,,"Kathleen Wilhoite, Clea Lewis, Danny Cooksey, Pamela Segall, April Winchell, Don Adams",United States,2021-09-08,1997,TV-Y,3,Season,"Animation, Comedy, Coming of Age",pepper ann pearson is a teenage girl on an eternal quest for coolness.,29
ds116,TV Show,The Incredible Dr. Pol,,"Rick Robles, Dr. Pol",United States,2021-09-08,2011,TV-14,19,Season,"Animals & Nature, Docuseries, Family",dr. pol and his team handle challenging veterinary cases and animal emergencies in central michigan.,51
ds117,Movie,Happier Than Ever: A Love Letter to Los Angeles,"Robert Rodriguez, Patrick Osborne","Billie Eilish, FINNEAS",United States,2021-09-03,2021,TV-14,66,min,"Concert Film, Music","billie eilish makes her disney+ debut with ""happier than ever: a love letter to los angeles.""",46
ds118,Movie,X-Men: Dark Phoenix,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan","United States, Canada",2021-09-03,2019,PG-13,115,min,"Action-Adventure, Family, Science Fiction","when jean grey transforms into the dark phoenix, the x-men unite to face their greatest enemy yet.",56
ds119,TV Show,Alaska Animal Rescue,,Victoria Vosburg,United States,2021-09-01,2019,TV-PG,2,Season,"Animals & Nature, Docuseries, Family",conservation heroes rescue and rehabilitate the wild animals of america’s last frontier.,64
ds120,TV Show,Dug Days,,"Bob Peterson, Ed Asner, Jordan Nagai",United States,2021-09-01,2021,TV-PG,1,Season,"Animation, Comedy, Family","“dug days” is a collection of shorts that follows the adventures of dug, the dog from pixar’s “up.”",45
ds121,Movie,Cruella,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste","United States, United Kingdom",2021-08-27,2021,PG-13,137,min,"Crime, Drama","witness the origin of disney’s most notorious and notoriously fashionable villain, cruella de vil.",23
ds122,Movie,Dan in Real Life,Peter Hedges,"Steve Carell, Juliette Binoche, Dane Cook, John Mahoney, Emily Blunt, Alison Pill",United States,2021-08-27,2007,PG-13,99,min,"Comedy, Drama, Romance",a relationship expert falls in love with his brother's new girlfriend.,78
ds123,Movie,Disney Princess Remixed - An Ultimate Princess Celebration,Napoleon Dumo,"Txunamy Oriz, Natalie Peyser, Dara Reneé, Frankie Rodriguez, Julia Lester, Ruth Righi",,2021-08-27,2021,TV-G,22,min,"Family, Music, Variety",celebrate the timeless music of disney princess!,68
ds124,Movie,Marvel One-Shot: All Hail the King,Drew Pearce,"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell, Matt Gerald, Allen Maldonado",United States,2021-08-27,2014,TV-14,14,min,"Comedy, Drama, Thriller","locked up in prison, infamous icon trevor slattery agrees to meet with a documentary filmmaker.",83
ds125,Movie,Underdog,Frederik Du Chau,"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger",United States,2021-08-27,2007,PG,85,min,"Action-Adventure, Family, Parody",a super-powered beagle tries to save capital city from a mad scientist.,39
ds126,TV Show,Dr. K's Exotic Animal ER,,"Dr. Susan Kelleher, Art Edmonds",,2021-08-25,2014,TV-14,9,Season,"Animals & Nature, Docuseries, Family",dedicated veterinarians treat a colorful array of exotic pets in south florida.,33
ds127,TV Show,Gigantosaurus,,"Dylan Schombing, Áine Sunderland, Nahanni Mitchell, Nicholas Holmes",France,2021-08-25,2018,TV-Y,2,Season,"Action-Adventure, Animation, Kids",four dinos explore the mystery of the gigantosaurus!,71
ds128,TV Show,Life Below Zero: Next Generation,,Mocean Melvin,United States,2021-08-25,2020,TV-14,2,Season,"Action-Adventure, Animals & Nature, Docuseries",the next generation of alaskans struggle to survive without modern-day comforts.,21
ds129,Movie,Eragon,Stefen Fangmeier,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich, Garrett Hedlund","United States, United Kingdom, Hungary",2021-08-20,2006,PG,104,min,"Action-Adventure, Family, Fantasy","in a mythical time, a teenage boy becomes a dragon rider and embarks on a journey of adventure.",68
ds130,TV Show,Growing Up Animal,,Tracee Ellis Ross,,2021-08-18,2021,TV-PG,1,Season,"Animals & Nature, Docuseries, Family",magical stories of baby animals on the journey from womb to the wild.,99
ds131,Movie,Fantastic Four,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington","United States, Germany",2021-08-13,2005,PG-13,106,min,"Action-Adventure, Family, Science Fiction",four astronauts develop superpowers and must join forces to protect mankind from doom.,51
ds132,Movie,X-Men,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden",United States,2021-08-13,2000,PG-13,105,min,"Action-Adventure, Family, Science Fiction","the x-men, a small band of outcast mutants, fight to save a world that hates and fears them.",99
ds133,TV Show,America's Funniest Home Videos: Animal Edition,,Alfonso Ribeiro,,2021-08-11,2021,TV-PG,1,Season,Reality,natgeo meets america’s funniest home videos in a hilarious new animal show,67
ds134,TV Show,Chicken Squad,,"Ramone Hamilton, Gabriella Graves, Maxwell Simkins, Yvette Nicole Brown",United States,2021-08-11,2021,TV-Y,1,Season,"Animation, Kids, Police/Cop",bagawk! say hello to the chicken squad.,61
