id,type,title,director,cast,country,date_added,release_year,rating,duration_int,duration_type,listed_in,description,score
as506,Movie,The Nutty Professor (1963),Jerry Lewis,"Jerry Lewis, Stella Stevens, Del Moore",United States,,1963,ALL,107,min,"Comedy, Science Fiction","jerry lewis plays a timid, nearsighted chemistry teacher who discovers a magical potion that can transform him into a suave and handsome romeo. the jekyll and hyde game works well enough until the concoction starts to wear off at the most embarrassing times.",35
as507,TV Show,The Nurse,,,,,2013,7+,1,Season,"Documentary, Special Interest",this fly-on-the-wall series looks at the work of the district nurses who travel around the country caring for their patients in their own homes.,27
as508,TV Show,The Notekins - Musical Friends,,,,,2015,ALL,1,Season,"Animation, Kids, Special Interest","step into the magical world of music in ""the notekins"" featuring seven little people representing each a musical note. the notekins are invited to visit different musical instruments and along the way the young viewers will be introduced to basic musical concepts such as pitch and tempo. ""the notekins"" is sure to have your toddler singing and dancing",66
as509,Movie,The North Star,Lewis Milestone,"Anne Baxter, Dana Andrews, Walter Huston, Walter Brennan, Ann Harding, Jane Withers, Farley Granger, Erich von Stroheim, Dean Jagger",,,1943,13+,106,min,"Drama, Military and War","a small ukrainian village is attacked by the nazi as part of the german invasion. erich von stroheim, a brutal german doctor takes the children of the village and uses them to transfer blood from them to wounded german soldiers. as the children start dying, the villagers organize an attack.",43
as510,TV Show,The Night Manager,,"Hugh Laurie, Tom Hiddleston, Nader Boussandel",,,2016,18+,1,Season,"Action, Drama, Suspense","the night manager is based on john le carre's novel, ex-british soldier jonathan pine (tom hiddleston) is recruited by mi-6's angela burr (olivia colman) to infiltrate the inner circle of an arms trader named richard onslow roper (hugh laurie).",92
as511,Movie,The Night is Young,"Matt Jones, Dave Hill","Matt Jones, Dave Hill, Kelen Coleman, Eloise Mumford, Brett Gelman",,,2016,18+,89,min,Comedy,"los angeles is a city full of clichés, and matt and dave are living proof. matt, an unhappy actor, and dave, an unsuccessful writer, just fit the stereotypes. syd and amy are also struggling with clichés of their own, a waitress/actress and a joyless workaholic.",26
as512,Movie,The Night Crew,Christian Sesma,"Luke Goss, Bokeem Woodbine, Danny Trejo",,,2016,18+,93,min,"Action, Suspense","the night crew centers on a group of hard up bounty hunters who must survive the night in a desert motel against a horde of savage border runners. they soon realize that their fugitive, a mysterious chinese woman, is much more than she lets on.",20
as513,Movie,The Night Before Christmas,Diane Paloma Eskenazi,,,,2016,ALL,49,min,"Animation, Kids","a kind-hearted, young orphan boy and his loyal cat discover the true spirit of christmas in this delightfully animated yuletide tale of musical, magical holiday cheer! produced by golden films. directed by diane eskenazi.",26
as514,TV Show,The Next Steps,,"Anthony Fanelli, Lyndsey Doolen",,,2016,13+,1,Season,Comedy,"first comes love then comes...something. come join chris and beth's journey as they navigate through the ups and downs of a relationship that's stuck in a big rut. ""i kind of hope they stay in a rut, because their rut is our huge lol. the next steps' stars anthony fanelli & lyndsey doolen have the skills of making you laugh as soon as they appear on screen!!"" -david dean, the serial optimist",15
as515,TV Show,The Next Step,,"Myles Erlick, Shelby Bain, Victoria Baldesarra, Alexandra Beaton",,,2017,TV-G,5,Season,"Drama, Unscripted, Young Adult Audience","it's a new chapter for the next step dance studio. the studio is expanding and attracting a lot of fresh faces, while many old guard a-troupers are leaving to pursue other goals. one thing is absolute: a-troupe's quest to be the best. since losing regionals last season, they are no longer the international champs and they have a lot to prove.",88
